dayofyear,encounter_type,change_n_interactions
2020-04-14,home,-31.441502541546306
2020-04-14,business,-93.66669963093965
2020-04-14,poi,-91.78329066784774
2020-04-15,poi,-91.04693892661244
2020-04-15,other,-85.70666329384338
2020-04-15,home,-31.968397509425863
2020-04-15,business,-93.84722503524301
2020-04-16,home,-35.71604707231211
2020-04-16,poi,-90.75838080402882
2020-04-16,business,-93.98040987982252
2020-04-16,other,-86.0916619422748
2020-04-17,home,-42.03427171950802
2020-04-17,poi,-93.57825026579538
2020-04-17,business,-93.82982179018967
2020-04-17,other,-89.80165598182921
2020-04-18,home,-51.155778696978636
2020-04-18,business,-72.25350344415969
2020-04-18,other,-91.64406250312656
2020-04-18,poi,-95.28673593076395
2020-04-19,business,-62.23731847261873
2020-04-19,poi,-94.62418335918365
2020-04-19,other,-89.75403799407964
2020-04-19,home,-50.92844781347039
2020-04-20,poi,-91.78018104989016
2020-04-20,other,-84.32468019406645
2020-04-20,home,-43.944909005733464
2020-04-20,business,-93.16859569869028
2020-04-21,poi,-92.77599176024405
2020-04-21,business,-93.41293816321566
2020-04-21,other,-87.41412935694261
2020-04-21,home,-38.29965604285902
2020-04-22,business,-93.32043770554553
2020-04-22,other,-84.79384336695162
2020-04-22,home,-31.141934316534247
2020-04-22,poi,-91.13937315993103
2020-04-23,other,-86.51419145541833
2020-04-23,home,-35.23620654551722
2020-04-23,poi,-91.70591131414267
2020-04-23,business,-93.485688342735
2020-04-24,home,-40.42528469712497
2020-04-24,business,-93.58091573034582
2020-04-24,other,-90.1178150750502
2020-04-24,poi,-94.29406441890006
2020-04-25,poi,-94.93837717322992
2020-04-25,business,-69.30875146702896
2020-04-25,other,-84.7733547774636
2020-04-25,home,-35.38785812475753
2020-04-26,other,-92.69936878334175
2020-04-26,poi,-94.39280969646813
2020-04-26,business,-58.5122360725649
2020-04-26,home,-57.63393399940925
2020-04-27,poi,-91.7061433107897
2020-04-27,business,-93.1156764394344
2020-04-27,home,-47.43993794803362
2020-04-27,other,-86.05175451068413
2020-04-28,poi,-91.00538525862194
2020-04-28,home,-30.079013339001193
2020-04-28,other,-80.07463179051939
2020-04-28,business,-93.33268460660493
2020-04-29,home,-34.80718175349094
2020-04-29,other,-84.19484196131663
2020-04-29,business,-93.23290785279265
2020-04-29,poi,-91.32637400545953
2020-04-30,poi,-91.29508267669748
2020-04-30,home,-37.846549266770765
2020-04-30,other,-85.78069661272835
2020-04-30,business,-93.26792653310024
2020-05-01,other,-85.87921791888394
2020-05-01,business,-93.33599020275807
2020-05-01,poi,-92.85925981559515
2020-05-01,home,-36.25053636239943
2020-05-02,home,-34.214786606497306
2020-05-02,other,-79.72001603176066
2020-05-02,business,-69.1614408384706
2020-05-02,poi,-93.64333508104163
2020-05-03,other,-80.51868728785415
2020-05-03,home,-41.736524699285084
2020-05-03,business,-59.827653508339495
2020-05-03,poi,-92.36627344689688
2020-05-04,other,-80.62644765008248
2020-05-04,home,-45.24178396791875
2020-05-04,poi,-89.5938739644682
2020-05-04,business,-92.99964364496411
2020-05-05,home,-34.09853056205766
2020-05-05,poi,-89.48445126994754
2020-05-05,other,-76.15910932326919
2020-05-05,business,-93.1120233034653
2020-05-06,other,-83.17096206455898
2020-05-06,home,-36.98107869595607
2020-05-06,business,-93.12550325050883
2020-05-06,poi,-90.58161225005131
2020-05-07,other,-78.28374336573015
2020-05-07,business,-93.05218425505959
2020-05-07,poi,-89.64181112891666
2020-05-07,home,-31.476879341107566
2020-05-08,business,-93.16886445439813
2020-05-08,other,-86.64663648974316
2020-05-08,poi,-92.10158533831321
2020-05-08,home,-42.73834076820199
2020-05-09,business,-67.61692765919658
2020-05-09,home,-39.2538786179935
2020-05-09,other,-85.58856134399828
2020-05-09,poi,-92.48568128137751
2020-05-10,poi,-94.1814835194672
2020-05-10,other,-72.78437252892
2020-05-10,business,-61.36490502178409
2020-05-10,home,-36.10470858001455
2020-05-11,poi,-91.44843452945544
2020-05-11,home,-43.43032615389906
2020-05-11,other,-83.26961308333219
2020-05-11,business,-92.88043264322864
2020-05-12,poi,-93.33088026422794
2020-05-12,business,-93.282053780463
2020-05-12,home,-46.06369815615196
2020-05-12,other,-84.79515177785431
2020-05-13,other,-77.58992154811051
2020-05-13,poi,-90.00930913381603
2020-05-13,home,-27.145035570360264
2020-05-13,business,-92.8856955425157
2020-05-14,poi,-89.90385299704062
2020-05-14,business,-92.86447252878007
2020-05-14,other,-78.31007480138747
2020-05-14,home,-28.515429287656158
2020-05-15,home,-31.954149776500017
2020-05-15,poi,-91.71436279352689
2020-05-15,business,-92.82245250908379
2020-05-15,other,-80.14099829340866
2020-05-16,other,-71.83676032448092
2020-05-16,business,-68.05614573266539
2020-05-16,home,-28.790760239092695
2020-05-16,poi,-92.68960107342212
2020-05-17,home,-37.94292386354522
2020-05-17,other,-78.2861025534517
2020-05-17,poi,-91.1369651903989
2020-05-17,business,-59.442351394441275
2020-05-18,other,-77.09905668929267
2020-05-18,business,-92.38269303941591
2020-05-18,poi,-88.10505768166556
2020-05-18,home,-38.113412156496416
2020-05-19,business,-92.70444381388037
2020-05-19,home,-26.408373972363197
2020-05-19,poi,-89.04704601555304
2020-05-19,other,-75.5786313504309
2020-05-20,other,-72.85174668334575
2020-05-20,poi,-87.42625693137859
2020-05-20,home,-25.565774730488357
2020-05-20,business,-92.56981081322515
2020-05-21,poi,-86.65756378801085
2020-05-21,business,-92.70925482454602
2020-05-21,other,-68.19167733390063
2020-05-21,home,-24.649308875680077
2020-05-22,other,-65.84641613653099
2020-05-22,home,-33.767252767608305
2020-05-22,business,-93.6124934645028
2020-05-22,poi,-89.66610713620602
2020-05-23,poi,-92.45658538669093
2020-05-23,home,-36.32259964586046
2020-05-23,business,-67.66541016538923
2020-05-23,other,-67.96535172249519
2020-05-24,poi,-88.97326592732695
2020-05-24,business,-60.012621326973935
2020-05-24,home,-32.9101532562771
2020-05-24,other,-44.18270492506971
2020-05-25,business,-99.18651761943345
2020-05-25,home,-25.943983301800145
2020-05-25,other,-7.848523805798169
2020-05-25,poi,-83.99773456331442
2020-05-26,business,-92.71050450216656
2020-05-26,home,-19.314886056932224
2020-05-26,other,-67.16505162203698
2020-05-26,poi,-88.23858209464278
2020-05-27,other,-66.63477192221379
2020-05-27,business,-92.02796545812579
2020-05-27,home,-16.12981357715384
2020-05-27,poi,-87.39045093546144
2020-05-28,home,-18.95835235472013
2020-05-28,other,-72.92117846328543
2020-05-28,poi,-88.18753588051274
2020-05-28,business,-92.02661661726714
2020-05-29,business,-91.958008768958
2020-05-29,poi,-90.7164112708001
2020-05-29,other,-76.0981132717165
2020-05-29,home,-21.427981930246077
2020-05-30,other,-66.54389375552854
2020-05-30,poi,-89.1028937261853
2020-05-30,home,-17.146796858662594
2020-05-30,business,-63.0828733319756
2020-05-31,home,-25.090298682793687
2020-05-31,business,-57.301419097033765
2020-05-31,poi,-87.68736323655205
2020-05-31,other,-70.97592480014183
2020-06-01,home,-27.352486051673665
2020-06-01,business,-91.15429531207646
2020-06-01,poi,-86.11304790187772
2020-06-01,other,-68.13443190898141
2020-06-02,business,-91.40464190031162
2020-06-02,home,-20.951873606554916
