date,metric,StringencyIndex,dailyDeathsPop,dailyCasesPop,state,prec_weighted,temp_weighted,weekday,dayofyear
2020-03-05,0.900534021142878,0.1389,0.0,0.0,KY,0.00011746062414972392,17.73637597626548,3,65
2020-03-06,1.0111380288347909,0.1389,0.0,0.0223504142649284,KY,0.0018969770611864548,16.616247340802783,4,66
2020-03-07,1.1925391006120096,0.1944,0.0,0.0,KY,0.21261249506801724,5.262633437873676,5,67
2020-03-08,0.8947766843300531,0.1944,0.0,0.0,KY,0.0011043577398138604,10.306116379717574,6,68
2020-03-09,0.7931413386957769,0.1944,0.0,0.0670512427947852,KY,0.0,18.800541054019693,0,69
2020-03-10,0.7981782474241914,0.1944,0.0,0.0223504142649284,KY,3.585949007741789,18.86268678115965,1,70
2020-03-11,0.8621894297393673,0.3426,0.0,0.0670512427947852,KY,3.7462897624696487,15.129071075158553,2,71
2020-03-12,0.7858380156627559,0.3704,0.0,0.0447008285298568,KY,0.6176570964576422,14.797849382689636,3,72
2020-03-13,0.9338659205536944,0.4074,0.0,0.0894016570597136,KY,29.078059509936786,19.684493141296667,4,73
2020-03-14,0.7626622202875881,0.4259000000000001,0.0,0.0447008285298568,KY,0.060662918906392936,12.942133030658699,5,74
2020-03-15,0.5793035469966016,0.4259000000000001,0.0,0.0447008285298568,KY,17.34057591204623,7.9338466096117735,6,75
2020-03-16,0.5538864328941157,0.4259000000000001,0.0,0.0670512427947852,KY,0.008295704045364305,5.847366586506404,0,76
2020-03-17,0.4792109063110507,0.4259000000000001,0.0223504142649284,0.111752071324642,KY,3.638547483554797,8.5924949566452,1,77
2020-03-18,0.4539183163902265,0.4444,0.0,0.0447008285298568,KY,0.4786095038223312,11.897631275761697,2,78
2020-03-19,0.4160414267628904,0.5832999999999999,0.0,0.4917091138284248,KY,18.69820938563704,18.28331786208285,3,79
2020-03-20,0.3543884996026873,0.6851999999999999,0.0223504142649284,0.3129057997089976,KY,17.451878317160105,22.224147091652156,4,80
2020-03-21,0.2355059469350412,0.6851999999999999,0.0,0.5140595280933532,KY,3.522007073183362,22.48807326417172,5,81
2020-03-22,0.32833508753724605,0.6851999999999999,0.0223504142649284,0.3576066282388544,KY,0.020097775752727302,5.723877439826567,6,82
2020-03-23,0.3689510509501791,0.7222,0.0,0.447008285298568,KY,3.5468448170481777,10.405670373177797,0,83
2020-03-24,0.31515537643260577,0.7222,0.0223504142649284,0.8716661563322076,KY,0.6494813163512656,13.5879346332526,1,84
2020-03-25,0.3703727649547783,0.7222,0.0,0.7822644992724941,KY,10.67266907800726,12.782955318138855,2,85
2020-03-26,0.3883075996299511,0.7963,0.0223504142649284,1.1175207132464198,KY,0.004884422670717287,16.807871170817027,3,86
2020-03-27,0.4332000841573743,0.7963,0.0,1.2069223703061336,KY,0.3691643569751567,24.68100480829791,4,87
2020-03-28,0.4304756609570245,0.7963,0.0447008285298568,1.7656827269293436,KY,0.5198808082214824,25.87884792702306,5,88
2020-03-29,0.34602366376265603,0.7963,0.0447008285298568,1.2963240273658472,KY,9.910077709109004,26.839119549920987,6,89
2020-03-30,0.3516586179142233,0.8519,0.0,0.9163669848620644,KY,0.010196600871111038,21.005466371911357,0,90
2020-03-31,0.3234777454077538,0.8519,0.0447008285298568,3.3302117254743315,KY,1.8602521327016681,17.708922449158596,1,91
2020-04-01,0.3387555714031022,0.8519,0.0,0.0894016570597136,KY,5.245252090933215,9.394948363024213,2,92
2020-04-02,0.3730710179597957,0.8519,0.15645289985449878,3.0843571685601185,KY,0.037588018298592256,11.81189993883896,3,93
2020-04-03,0.4498674150506777,0.9074,0.2905553854440692,0.0,KY,0.01127552498629038,16.66291939582425,4,94
2020-04-04,0.4190682448466135,0.9074,0.0670512427947852,3.285510896944475,KY,0.010321883490490291,20.6204227417422,5,95
2020-04-05,0.3383640862290396,0.9074,0.1341024855895704,0.8493157420672792,KY,0.2438145361562569,22.241974339474613,6,96
